Name,Position,Games Played,Minutes,Tries Per 80 Minutes,Try Assists Per 80 Minutes,Try Contributions Per 80 Minutes,Carries Per 80 Minutes,Meters Per 80 Minutes,Defenders Beaten Per 80 Minutes,Linebreaks Per 80 Minutes,Offloads Per 80 Minutes,Tackles Per 80 Minutes,Missed Tackles Per 80 Minutes,Turnovers Won Per 80 Minutes,Turnovers Lost Per 80 Minutes,Penalties Per 80 Minutes,Kicks Per 80 Minutes,Passes Per 80 Minutes,Dominant Tackles Per 80 Minutes
Hoskins Sotutu,Number 8,11,501,0.319361277,0.479041916,1.117764471,11.9760479,47.4251497,1.756487026,0.798403194,0.798403194,6.067864271,0.958083832,0,0.638722555,1.437125749,0.319361277,11.01796407,0.319361277
Israel Dagg,Fullback,17,1263,0.760095012,0.253365004,0.63341251,10.19794141,71.95566112,2.470308789,1.773555028,0.950118765,2.470308789,0.760095012,0.190023753,2.026920032,0.316706255,1.90023753,6.650831354,0
Jack Goodhue,Center,15,937,0.256136606,0.170757737,0.597652081,12.37993597,57.37459979,4.354322305,1.451440768,1.280683031,7.684098186,1.024546425,0.256136606,0.768409819,0.512273212,0.512273212,8.964781217,0
Jerome Kaino,Blindside,14,866,0.092378753,0.184757506,0.277136259,7.575057737,29.28406467,0.64665127,0.184757506,0.184757506,10.53117783,1.200923788,0.461893764,0.64665127,0.64665127,0,3.233256351,0
Joe Moody,Prop,44,2304,0.138888889,0,0,3.4375,8.888888889,0.3125,0.208333333,0.069444444,11.21527778,1.319444444,0.069444444,0.243055556,1.076388889,0,0.972222222,0
Jordie Barrett,Fullback,54,3415,0.491947291,0.304538799,0.63250366,10.93997072,56.78477306,2.740849195,1.077598829,1.007320644,4.942898975,1.030746706,0.187408492,1.475841874,0.304538799,2.483162518,8.339677892,0.117130307
Julian Savea,Wing,13,918,0.697167756,0.261437908,0.610021786,9.237472767,77.9956427,2.788671024,2.265795207,0.610021786,2.701525054,1.132897603,0.174291939,2.440087146,0.087145969,0.348583878,4.357298475,0
Karl Tuinukuafe,Prop,25,837,0,0.09557945,0.09557945,3.918757467,10.9916368,0.573476703,0.191158901,0.09557945,8.602150538,1.529271207,0.191158901,0.191158901,1.146953405,0,1.720430108,0
Kieran Read,Number 8,43,3356,0.143027414,0.21454112,0.73897497,9.654350417,21.71632896,0.667461263,0.476758045,0.715137068,11.17997616,1.382598331,0.476758045,0.929678188,0.882002384,0.047675805,7.3659118,0
Liam Squire,Blindside,23,1185,0.270042194,0.135021097,0.135021097,9.181434599,38.8185654,1.552742616,0.810126582,0.337552743,10.93670886,0.945147679,0.135021097,0.742616034,0.742616034,0,1.890295359,0
Luke Jacobson,Number 8,18,763,0.524246396,0.209698558,0.733944954,10.27522936,40.99606815,1.25819135,0.943643512,1.048492792,11.11402359,0.733944954,0.419397117,0.838794233,0.629095675,0,7.758846658,0.629095675
Malakai Fekitoa,Center,11,657,0.487062405,0.243531202,0.730593607,10.83713851,59.9086758,1.704718417,1.217656012,1.704718417,6.575342466,0.852359209,0.608828006,2.070015221,0.487062405,0.97412481,9.01065449,0
Mark Telea,Wing,9,702,0.683760684,0.341880342,0.341880342,15.4985755,90.71225071,7.749287749,2.165242165,1.253561254,4.558404558,1.367521368,0.341880342,1.025641026,0.797720798,0.227920228,3.532763533,0.341880342
Matt Todd,Openside,22,773,0.310478655,0,0.413971539,8.382923674,24.83829237,1.138421734,1.138421734,0.827943079,15.42043984,0.827943079,0.931435964,0.827943079,0.724450194,0,4.864165589,0
Nepo Laulala,Prop,48,2377,0,0,0.033655869,5.216659655,4.846445099,0.235591081,0,0.168279344,6.899453092,1.649137568,0.134623475,0.437526294,0.908708456,0,1.716449306,0.134623475
Ngani Laumape,Second Five,14,659,0.971168437,0.364188164,0.606980273,10.07587253,63.85432473,3.034901366,1.820940819,0.606980273,7.162367223,0.849772382,0.121396055,1.335356601,0.121396055,0.728376328,7.526555387,0
Ofa Tu'ungafasi,Prop,54,1718,0.046565774,0,0.093131548,9.033760186,8.894062864,0.279394645,0,0.186263097,9.545983702,2.142025611,0.55878929,0.791618161,1.67636787,0,3.02677532,0.093131548
Owen Franks,Prop,30,1499,0,0,0.106737825,4.376250834,2.988659106,0.106737825,0.053368913,0.160106738,11.31420947,1.761174116,0.053368913,0.480320213,1.22748499,0,1.547698466,0
Patrick Tuipulotu,Lock,33,1314,0.304414003,0.182648402,0.304414003,7.671232877,23.19634703,1.339421613,0.426179604,0.608828006,7.914764079,1.03500761,0.182648402,1.339421613,0.487062405,0,3.835616438,0.060882801
Quinn Tupaea,Second Five,14,636,0.251572327,0.503144654,1.006289308,13.20754717,75.8490566,3.018867925,0.628930818,1.257861635,7.044025157,1.509433962,0.251572327,1.006289308,0.503144654,0.125786164,6.540880503,0.125786164
Richie Mo'unga,First Five,53,3065,0.208809135,0.574225122,1.461663948,9.292006525,46.32952692,3.628058728,0.756933116,0.965742251,5.820554649,1.278955954,0.13050571,1.200652529,0.261011419,5.611745514,22.10766721,0.13050571
Rieko Ioane,Wing,67,4705,0.578108395,0.289054198,0.510095643,8.858660999,75.64718385,3.40063762,1.666312434,1.037194474,4.862911796,1.156216791,0.170031881,1.173219979,0.459086079,0.051009564,5.032943677,0.102019129
Ryan Crotty,Second Five,33,1953,0.409626216,0.122887865,0.860215054,8.315412186,41.65898618,2.130056324,1.187916027,0.614439324,8.888888889,1.187916027,0.24577573,0.778289811,0.24577573,0.286738351,8.602150538,0
Sam Cane,Openside,61,3757,0.106467927,0.063880756,0.212935853,7.367580516,13.64918818,0.447165291,0.276816609,0.787862656,14.01117913,1.618312483,0.745275486,0.745275486,0.68139473,0.042587171,6.494543519,0.255523024
Sam Whitelock,Lock,78,5448,0.044052863,0,0.073421439,6.534508076,9.427312775,0.455212922,0.102790015,0.33773862,11.55653451,0.792951542,0.381791483,0.367107195,0.792951542,0.014684288,3.700440529,0.190895742
Samisoni Taukei'aho,Hooker,30,1064,0.751879699,0.07518797,0.30075188,18.79699248,35.71428571,3.007518797,0.22556391,0.827067669,11.27819549,1.052631579,0.22556391,1.127819549,0.827067669,0,3.458646617,1.052631579
Scott Barrett,Lock,67,3714,0.150780829,0.064620355,0.172320948,7.560581583,15.14270328,0.71082391,0.258481422,0.366182014,9.779213786,1.098546042,0.409262251,0.624663436,0.861604739,0,4.717285945,0.236941303
Sevu Reece,Wing,23,1608,0.746268657,0.099502488,0.149253731,8.308457711,58.85572139,3.28358209,1.84079602,0.995024876,5.074626866,1.243781095,0.199004975,1.393034826,0.298507463,0.39800995,4.328358209,0.049751244
Shannon Frizell,Blindside,30,1609,0.397762585,0.099440646,0.397762585,12.33064015,27.2467371,1.939092604,0.646364201,0.845245494,12.03231821,1.640770665,0.198881293,0.94468614,0.745804848,0,5.270354257,0.397762585
Sonny Bill Williams,Second Five,25,1485,0.215488215,0.430976431,1.077441077,12.17508418,36.04040404,1.454545455,0.861952862,2.747474747,8.781144781,1.616161616,0.430976431,1.292929293,0.7003367,0.592592593,9.373737374,0
TJ Perenara,Halfback,60,1941,0.618238022,0.700669758,2.596599691,6.841834106,34.49768161,1.154044307,1.277691911,0.824317362,6.594538897,1.071612571,0.906749098,1.401339516,0.288511077,3.04997424,79.01081917,0
Tupou Vaa'i,Lock,25,767,0.312907432,0.104302477,0.208604954,12.20338983,27.53585398,1.355932203,0.312907432,0.625814863,8.448500652,0.938722295,0.104302477,1.251629726,0.73011734,0,7.718383312,0.104302477
Tyrel Lomax,Prop,30,1268,0,0,0.063091483,6.813880126,5.804416404,0,0,0.126182965,10.28391167,1.892744479,0.126182965,0.315457413,1.451104101,0,1.324921136,0.189274448
Vaea Fifita,Blindside,11,603,0.265339967,0,0,7.164179104,43.38308458,2.918739635,1.194029851,0.39800995,9.021558872,1.592039801,0.663349917,0.7960199,0.530679934,0,2.255389718,0
Waisake Naholo,Wing,23,1510,0.794701987,0.21192053,0.42384106,10.64900662,83.23178808,4.185430464,2.80794702,0.794701987,4.079470199,1.695364238,0.794701987,1.483443709,0.635761589,0.794701987,4.874172185,0
Will Jordan,Wing,31,2064,1.201550388,0.348837209,0.658914729,10.19379845,82.82945736,2.713178295,2.480620155,0.891472868,5.542635659,0.697674419,0.19379845,1.511627907,0.348837209,1.705426357,6.434108527,0.503875969
Wyatt Crockett,Prop,26,832,0.096153846,0.096153846,0.384615385,4.519230769,7.5,0.096153846,0.192307692,0.576923077,9.326923077,2.307692308,0.192307692,0.480769231,2.307692308,0,3.557692308,0
